sample_index,source_device,circuit_name,qasm_path,target_column,target_time_taken,target_semantics
0,washington,ae_indep_qiskit_10,data/quantum_circuits/ae_indep_qiskit_10.qasm,time_taken,1.4645457029342652,Ma-Li upstream time_taken; device-labelled run
1,washington,ae_indep_qiskit_12,data/quantum_circuits/ae_indep_qiskit_12.qasm,time_taken,4.840490555763244,Ma-Li upstream time_taken; device-labelled run
2,washington,ae_indep_qiskit_2,data/quantum_circuits/ae_indep_qiskit_2.qasm,time_taken,0.6905831575393677,Ma-Li upstream time_taken; device-labelled run
3,washington,ae_indep_qiskit_3,data/quantum_circuits/ae_indep_qiskit_3.qasm,time_taken,0.7005894422531128,Ma-Li upstream time_taken; device-labelled run
4,washington,ae_indep_qiskit_30,data/quantum_circuits/ae_indep_qiskit_30.qasm,time_taken,24.990397930145264,Ma-Li upstream time_taken; device-labelled run
5,washington,ae_indep_qiskit_31,data/quantum_circuits/ae_indep_qiskit_31.qasm,time_taken,0.7756834983825683,Ma-Li upstream time_taken; device-labelled run
6,washington,ae_indep_qiskit_32,data/quantum_circuits/ae_indep_qiskit_32.qasm,time_taken,0.8096918106079102,Ma-Li upstream time_taken; device-labelled run
7,washington,ae_indep_qiskit_33,data/quantum_circuits/ae_indep_qiskit_33.qasm,time_taken,0.7682051658630371,Ma-Li upstream time_taken; device-labelled run
8,washington,ae_indep_qiskit_34,data/quantum_circuits/ae_indep_qiskit_34.qasm,time_taken,0.7314362525939941,Ma-Li upstream time_taken; device-labelled run
9,washington,ae_indep_qiskit_35,data/quantum_circuits/ae_indep_qiskit_35.qasm,time_taken,0.756407356,Ma-Li upstream time_taken; device-labelled run
10,washington,ae_indep_qiskit_36,data/quantum_circuits/ae_indep_qiskit_36.qasm,time_taken,0.7555423259735108,Ma-Li upstream time_taken; device-labelled run
11,washington,ae_indep_qiskit_37,data/quantum_circuits/ae_indep_qiskit_37.qasm,time_taken,0.7594603300094604,Ma-Li upstream time_taken; device-labelled run
12,washington,ae_indep_qiskit_38,data/quantum_circuits/ae_indep_qiskit_38.qasm,time_taken,0.8269400835037232,Ma-Li upstream time_taken; device-labelled run
13,washington,ae_indep_qiskit_39,data/quantum_circuits/ae_indep_qiskit_39.qasm,time_taken,0.8267623901367187,Ma-Li upstream time_taken; device-labelled run
14,washington,ae_indep_qiskit_4,data/quantum_circuits/ae_indep_qiskit_4.qasm,time_taken,0.6295430421829223,Ma-Li upstream time_taken; device-labelled run
15,washington,ae_indep_qiskit_40,data/quantum_circuits/ae_indep_qiskit_40.qasm,time_taken,0.7858134031295776,Ma-Li upstream time_taken; device-labelled run
16,washington,ae_indep_qiskit_41,data/quantum_circuits/ae_indep_qiskit_41.qasm,time_taken,0.7031483173370361,Ma-Li upstream time_taken; device-labelled run
17,washington,ae_indep_qiskit_42,data/quantum_circuits/ae_indep_qiskit_42.qasm,time_taken,0.7608645915985107,Ma-Li upstream time_taken; device-labelled run
18,washington,ae_indep_qiskit_43,data/quantum_circuits/ae_indep_qiskit_43.qasm,time_taken,0.7887185573577881,Ma-Li upstream time_taken; device-labelled run
19,washington,ae_indep_qiskit_44,data/quantum_circuits/ae_indep_qiskit_44.qasm,time_taken,0.80714643,Ma-Li upstream time_taken; device-labelled run
20,washington,ae_indep_qiskit_45,data/quantum_circuits/ae_indep_qiskit_45.qasm,time_taken,0.7179110050201416,Ma-Li upstream time_taken; device-labelled run
21,washington,ae_indep_qiskit_46,data/quantum_circuits/ae_indep_qiskit_46.qasm,time_taken,0.7792243480682373,Ma-Li upstream time_taken; device-labelled run
22,washington,ae_indep_qiskit_47,data/quantum_circuits/ae_indep_qiskit_47.qasm,time_taken,0.8053781986236572,Ma-Li upstream time_taken; device-labelled run
23,washington,ae_indep_qiskit_48,data/quantum_circuits/ae_indep_qiskit_48.qasm,time_taken,0.7935319662094116,Ma-Li upstream time_taken; device-labelled run
24,washington,ae_indep_qiskit_49,data/quantum_circuits/ae_indep_qiskit_49.qasm,time_taken,0.8153759956359863,Ma-Li upstream time_taken; device-labelled run
25,washington,ae_indep_qiskit_5,data/quantum_circuits/ae_indep_qiskit_5.qasm,time_taken,0.7467954158782959,Ma-Li upstream time_taken; device-labelled run
26,washington,ae_indep_qiskit_50,data/quantum_circuits/ae_indep_qiskit_50.qasm,time_taken,0.8070066690444946,Ma-Li upstream time_taken; device-labelled run
27,washington,ae_indep_qiskit_51,data/quantum_circuits/ae_indep_qiskit_51.qasm,time_taken,0.7599922180175781,Ma-Li upstream time_taken; device-labelled run
28,washington,ae_indep_qiskit_52,data/quantum_circuits/ae_indep_qiskit_52.qasm,time_taken,0.7478885173797607,Ma-Li upstream time_taken; device-labelled run
29,washington,ae_indep_qiskit_53,data/quantum_circuits/ae_indep_qiskit_53.qasm,time_taken,0.7750428438186645,Ma-Li upstream time_taken; device-labelled run
30,washington,ae_indep_qiskit_54,data/quantum_circuits/ae_indep_qiskit_54.qasm,time_taken,0.7715446949005127,Ma-Li upstream time_taken; device-labelled run
31,washington,ae_indep_qiskit_55,data/quantum_circuits/ae_indep_qiskit_55.qasm,time_taken,0.8615126132965087,Ma-Li upstream time_taken; device-labelled run
32,washington,ae_indep_qiskit_56,data/quantum_circuits/ae_indep_qiskit_56.qasm,time_taken,0.7719999313354492,Ma-Li upstream time_taken; device-labelled run
33,washington,ae_indep_qiskit_57,data/quantum_circuits/ae_indep_qiskit_57.qasm,time_taken,0.8813166141510009,Ma-Li upstream time_taken; device-labelled run
34,washington,ae_indep_qiskit_58,data/quantum_circuits/ae_indep_qiskit_58.qasm,time_taken,0.9198228120803832,Ma-Li upstream time_taken; device-labelled run
35,washington,ae_indep_qiskit_59,data/quantum_circuits/ae_indep_qiskit_59.qasm,time_taken,0.7925896406173706,Ma-Li upstream time_taken; device-labelled run
36,washington,ae_indep_qiskit_6,data/quantum_circuits/ae_indep_qiskit_6.qasm,time_taken,0.7045995473861695,Ma-Li upstream time_taken; device-labelled run
37,washington,ae_indep_qiskit_60,data/quantum_circuits/ae_indep_qiskit_60.qasm,time_taken,0.8159959554672241,Ma-Li upstream time_taken; device-labelled run
38,washington,ae_indep_qiskit_61,data/quantum_circuits/ae_indep_qiskit_61.qasm,time_taken,0.8348357915878296,Ma-Li upstream time_taken; device-labelled run
39,washington,ae_indep_qiskit_62,data/quantum_circuits/ae_indep_qiskit_62.qasm,time_taken,0.8135475397109986,Ma-Li upstream time_taken; device-labelled run
40,washington,ae_indep_qiskit_63,data/quantum_circuits/ae_indep_qiskit_63.qasm,time_taken,0.8461421489715576,Ma-Li upstream time_taken; device-labelled run
41,washington,ae_indep_qiskit_64,data/quantum_circuits/ae_indep_qiskit_64.qasm,time_taken,0.8259567499160767,Ma-Li upstream time_taken; device-labelled run
42,washington,ae_indep_qiskit_65,data/quantum_circuits/ae_indep_qiskit_65.qasm,time_taken,0.8651400089263916,Ma-Li upstream time_taken; device-labelled run
43,washington,ae_indep_qiskit_66,data/quantum_circuits/ae_indep_qiskit_66.qasm,time_taken,0.8377469301223754,Ma-Li upstream time_taken; device-labelled run
44,washington,ae_indep_qiskit_67,data/quantum_circuits/ae_indep_qiskit_67.qasm,time_taken,0.8281911611557007,Ma-Li upstream time_taken; device-labelled run
45,washington,ae_indep_qiskit_7,data/quantum_circuits/ae_indep_qiskit_7.qasm,time_taken,0.807545829,Ma-Li upstream time_taken; device-labelled run
46,washington,ae_indep_qiskit_8,data/quantum_circuits/ae_indep_qiskit_8.qasm,time_taken,0.6552618980407715,Ma-Li upstream time_taken; device-labelled run
47,washington,ae_indep_qiskit_9,data/quantum_circuits/ae_indep_qiskit_9.qasm,time_taken,1.208785605430603,Ma-Li upstream time_taken; device-labelled run
48,washington,dj_indep_qiskit_10,data/quantum_circuits/dj_indep_qiskit_10.qasm,time_taken,1.2563508987426757,Ma-Li upstream time_taken; device-labelled run
49,washington,dj_indep_qiskit_100,data/quantum_circuits/dj_indep_qiskit_100.qasm,time_taken,0.7368910312652588,Ma-Li upstream time_taken; device-labelled run
50,washington,dj_indep_qiskit_101,data/quantum_circuits/dj_indep_qiskit_101.qasm,time_taken,0.7260549306869507,Ma-Li upstream time_taken; device-labelled run
51,washington,dj_indep_qiskit_102,data/quantum_circuits/dj_indep_qiskit_102.qasm,time_taken,0.7472368478775024,Ma-Li upstream time_taken; device-labelled run
52,washington,dj_indep_qiskit_103,data/quantum_circuits/dj_indep_qiskit_103.qasm,time_taken,0.7359101057052613,Ma-Li upstream time_taken; device-labelled run
53,washington,dj_indep_qiskit_104,data/quantum_circuits/dj_indep_qiskit_104.qasm,time_taken,0.639448619,Ma-Li upstream time_taken; device-labelled run
54,washington,dj_indep_qiskit_105,data/quantum_circuits/dj_indep_qiskit_105.qasm,time_taken,0.6698760032653809,Ma-Li upstream time_taken; device-labelled run
55,washington,dj_indep_qiskit_106,data/quantum_circuits/dj_indep_qiskit_106.qasm,time_taken,0.6993066310882569,Ma-Li upstream time_taken; device-labelled run
56,washington,dj_indep_qiskit_107,data/quantum_circuits/dj_indep_qiskit_107.qasm,time_taken,0.7556078672409058,Ma-Li upstream time_taken; device-labelled run
57,washington,dj_indep_qiskit_108,data/quantum_circuits/dj_indep_qiskit_108.qasm,time_taken,0.687713623,Ma-Li upstream time_taken; device-labelled run
58,washington,dj_indep_qiskit_109,data/quantum_circuits/dj_indep_qiskit_109.qasm,time_taken,0.7099644660949707,Ma-Li upstream time_taken; device-labelled run
59,washington,dj_indep_qiskit_11,data/quantum_circuits/dj_indep_qiskit_11.qasm,time_taken,1.981938457489013,Ma-Li upstream time_taken; device-labelled run
60,washington,dj_indep_qiskit_110,data/quantum_circuits/dj_indep_qiskit_110.qasm,time_taken,0.7412385225296021,Ma-Li upstream time_taken; device-labelled run
61,washington,dj_indep_qiskit_111,data/quantum_circuits/dj_indep_qiskit_111.qasm,time_taken,0.7151648283004761,Ma-Li upstream time_taken; device-labelled run
62,washington,dj_indep_qiskit_112,data/quantum_circuits/dj_indep_qiskit_112.qasm,time_taken,0.7742790699005127,Ma-Li upstream time_taken; device-labelled run
63,washington,dj_indep_qiskit_113,data/quantum_circuits/dj_indep_qiskit_113.qasm,time_taken,0.7374837875366211,Ma-Li upstream time_taken; device-labelled run
64,washington,dj_indep_qiskit_114,data/quantum_circuits/dj_indep_qiskit_114.qasm,time_taken,0.7628402471542358,Ma-Li upstream time_taken; device-labelled run
65,washington,dj_indep_qiskit_115,data/quantum_circuits/dj_indep_qiskit_115.qasm,time_taken,0.7058221101760864,Ma-Li upstream time_taken; device-labelled run
66,washington,dj_indep_qiskit_116,data/quantum_circuits/dj_indep_qiskit_116.qasm,time_taken,0.8449855804443359,Ma-Li upstream time_taken; device-labelled run
67,washington,dj_indep_qiskit_117,data/quantum_circuits/dj_indep_qiskit_117.qasm,time_taken,0.7448783159255982,Ma-Li upstream time_taken; device-labelled run
68,washington,dj_indep_qiskit_118,data/quantum_circuits/dj_indep_qiskit_118.qasm,time_taken,0.7693061113357544,Ma-Li upstream time_taken; device-labelled run
69,washington,dj_indep_qiskit_119,data/quantum_circuits/dj_indep_qiskit_119.qasm,time_taken,0.8187324047088623,Ma-Li upstream time_taken; device-labelled run
70,washington,dj_indep_qiskit_120,data/quantum_circuits/dj_indep_qiskit_120.qasm,time_taken,0.5506953477859498,Ma-Li upstream time_taken; device-labelled run
71,washington,dj_indep_qiskit_121,data/quantum_circuits/dj_indep_qiskit_121.qasm,time_taken,0.6518422603607178,Ma-Li upstream time_taken; device-labelled run
72,washington,dj_indep_qiskit_122,data/quantum_circuits/dj_indep_qiskit_122.qasm,time_taken,0.7393353939056396,Ma-Li upstream time_taken; device-labelled run
73,washington,dj_indep_qiskit_123,data/quantum_circuits/dj_indep_qiskit_123.qasm,time_taken,0.6812298059463501,Ma-Li upstream time_taken; device-labelled run
74,washington,dj_indep_qiskit_124,data/quantum_circuits/dj_indep_qiskit_124.qasm,time_taken,0.7126949548721313,Ma-Li upstream time_taken; device-labelled run
75,washington,dj_indep_qiskit_125,data/quantum_circuits/dj_indep_qiskit_125.qasm,time_taken,0.7746794939041137,Ma-Li upstream time_taken; device-labelled run
76,washington,dj_indep_qiskit_126,data/quantum_circuits/dj_indep_qiskit_126.qasm,time_taken,0.7502651929855346,Ma-Li upstream time_taken; device-labelled run
77,washington,dj_indep_qiskit_127,data/quantum_circuits/dj_indep_qiskit_127.qasm,time_taken,0.8202973365783691,Ma-Li upstream time_taken; device-labelled run
78,washington,dj_indep_qiskit_16,data/quantum_circuits/dj_indep_qiskit_16.qasm,time_taken,47.63871786594391,Ma-Li upstream time_taken; device-labelled run
