circuit_id,cold_post_prepare_seconds,cold_semantics,cold_z0_expectation,compile_or_transpile_semantics,context_id,depth_parameter,end_to_end_execution_component_seconds,end_to_end_first_seconds,end_to_end_z0_expectation,execution_device,family,gate_materialization_seconds,logical_depth,logical_gate_histogram,logical_single_qubit_gate_count,logical_total_gate_count,logical_two_qubit_gate_count,num_qubits,precision,record_id,recorded_utc,repeat_count,runtime_semantics,sampling_semantics,schema_version,seed,simulator,statevector_bytes,status,torch_cuda_peak_allocated_bytes,torch_cuda_peak_reserved_bytes,warm_execution_mean_seconds,warm_execution_median_seconds,warm_execution_seconds_samples,warm_execution_stdev_seconds,warm_z0_expectation,warmup_count
faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34,0.0028194530023029074,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,1,0.02955410499998834,0.060457868996309116,0.0,cpu,ghz,0.00016112300363602117,16,"{""cx"": 15, ""h"": 1}",1,16,15,16,complex64,faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34:cpu:complex64,2026-09-20T12:08:56+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,524288,ok,,,0.0026370936684543267,0.0026268130022799596,"[0.002678543998626992, 0.0026268130022799596, 0.0026059240044560283]",3.738562505949692e-05,0.0,1
faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34,0.010897458007093519,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,1,0.015293619995645713,0.015606898006808478,0.0,cpu,ghz,0.0004543750037555583,16,"{""cx"": 15, ""h"": 1}",1,16,15,16,complex128,faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34:cpu:complex128,2026-09-20T12:08:56+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,1048576,ok,,,0.0061789810012366315,0.006122899001638871,"[0.007267136999871582, 0.006122899001638871, 0.005146907002199441]",0.0010612269803234196,0.0,1
faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34,0.0006150379995233379,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex64,1,0.0787235320021864,0.12308848499378655,0.0,cuda,ghz,0.00024331600434379652,16,"{""cx"": 15, ""h"": 1}",1,16,15,16,complex64,faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34:cuda:complex64,2026-09-20T12:08:56+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,524288,ok,10362880,23068672,0.00042730700079118833,0.0004263139999238774,"[0.00043363100121496245, 0.0004219760012347251, 0.0004263139999238774]",5.890610679436661e-06,0.0,1
faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34,0.0013717080000787973,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex128,1,0.4750063979954575,0.4758350039992365,0.0,cuda,ghz,0.0005108059995109215,16,"{""cx"": 15, ""h"": 1}",1,16,15,16,complex128,faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34:cuda:complex128,2026-09-20T12:08:56+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,1048576,ok,12197888,25165824,0.0011794150001757469,0.0011746059972210787,"[0.0012000339993392117, 0.0011746059972210787, 0.0011636050039669499]",1.8684560685806166e-05,0.0,1
45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453,0.016247084000497125,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,1,0.021485393997863866,0.022564674000022933,0.0,cpu,ghz,0.00020491300529101864,20,"{""cx"": 19, ""h"": 1}",1,20,19,20,complex64,45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453:cpu:complex64,2026-09-20T12:09:05+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,8388608,ok,,,0.020446139334429365,0.02054378100001486,"[0.02054378100001486, 0.020563035002851393, 0.020231602000421844]",0.00018604402682859353,0.0,1
45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453,0.0528267770059756,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,1,0.09880538600555155,0.10010611500183586,0.0,cpu,ghz,0.00021562000620178878,20,"{""cx"": 19, ""h"": 1}",1,20,19,20,complex128,45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453:cpu:complex128,2026-09-20T12:09:05+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,16777216,ok,,,0.05294970233080676,0.052511757996398956,"[0.05173843899683561, 0.052511757996398956, 0.05459890999918571]",0.001479668888248773,0.0,1
45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453,0.0012709290022030473,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex64,1,0.12389476899988949,0.13135826800134964,0.0,cuda,ghz,0.0002779279966489412,20,"{""cx"": 19, ""h"": 1}",1,20,19,20,complex64,45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453:cuda:complex64,2026-09-20T12:09:06+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,8388608,ok,37890048,44040192,0.0011882663311553188,0.0011870710004586726,"[0.0011915039940504357, 0.0011870710004586726, 0.001186223998956848]",2.83570073400494e-06,0.0,1
45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453,0.01936449299682863,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex128,1,0.1913197379981284,0.1918730699981097,0.0,cuda,ghz,0.00030097599665168673,20,"{""cx"": 19, ""h"": 1}",1,20,19,20,complex128,45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453:cuda:complex128,2026-09-20T12:09:06+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,16777216,ok,67250176,73400320,0.019315770000199944,0.019317379999847617,"[0.019318532999022864, 0.019311397001729347, 0.019317379999847617]",3.830755603324804e-06,0.0,1
f7a1a6dcc6b20c6e80b250ca7f17cbb609a7a11d62bd59145c8f6f22fe7a11cf,0.7591658599994844,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,1,0.7373948039967217,0.7377257159969304,0.0,cpu,ghz,0.00014965099398978055,24,"{""cx"": 23, ""h"": 1}",1,24,23,24,complex64,f7a1a6dcc6b20c6e80b250ca7f17cbb609a7a11d62bd59145c8f6f22fe7a11cf:cpu:complex64,2026-09-20T12:09:06+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,134217728,ok,,,0.7736646970006404,0.7723625369981164,"[0.7694368380034575, 0.7723625369981164, 0.7791947160003474]",0.005007570394380585,0.0,1
f7a1a6dcc6b20c6e80b250ca7f17cbb609a7a11d62bd59145c8f6f22fe7a11cf,1.5651618629999575,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.0,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,1,1.5263267330010422,1.5265875969998888,0.0,cpu,ghz,0.00015906600310700014,24,"{""cx"": 23, ""h"": 1}",1,24,23,24,complex128,f7a1a6dcc6b20c6e80b250ca7f17cbb609a7a11d62bd59145c8f6f22fe7a11cf:cpu:complex128,2026-09-20T12:09:11+00:00,3,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v1,17,torch_dense_statevector_reference,268435456,ok,,,1.5870526503349538,1.5755617190006888,"[1.5746562530039228, 1.6109399790002499, 1.5755617190006888]",0.020691986860635975,0.0,1
